,Section,Class NBR,Instructor Name,A,B,C,D,F,AU,P,NG,W,I,IP,Pending,Total,Raw,Average,Median,Mode,σ,Semester,Classes
GLG 100,1,3044,"Wittke,James Henry",7,8,8,6,2,0,0,0,1,0,0,0,32,2.387,2,3,1.2295641329305467,,Fall 2003,GLG 100
GLG 100,2,3046,"Umhoefer,Paul John",11,14,18,7,1,0,0,0,0,0,0,0,51,2.529,2,2,1.0460007873127168,,Fall 2003,GLG 100
GLG 100,3,3045,"Riggs,Nancy Rosalind",21,24,18,8,10,0,0,0,0,1,0,0,82,2.469,3,3,1.3142147822282173,,Fall 2003,GLG 100
GLG 100,4,6952,"Koehler,Peter Andrew",19,19,8,2,1,0,0,0,2,0,0,0,51,3.082,3,4,0.9538678868576251,,Fall 2003,GLG 100
GLG 100,801,8024,"Coats,Larry Lee",10,12,6,0,2,0,0,0,3,0,0,0,33,2.933,3.0,3,1.0806553992619585,,Fall 2003,GLG 100
GLG 100L,801,8026,"Coats,Larry Lee",6,4,1,0,2,0,0,0,4,0,0,0,17,2.923,3,4,1.4411533842457842,,Fall 2003,GLG 100L
GLG 100L,A,3047,"Newkirk,Trenton T",15,1,3,0,0,0,0,0,0,0,0,0,19,3.632,4,4,0.7608859102526822,,Fall 2003,GLG 100L
GLG 100L,B,3048,"Newkirk,Trenton T",13,2,0,0,1,0,0,0,1,0,0,0,17,3.625,4.0,4,1.02469507659596,,Fall 2003,GLG 100L
GLG 100L,C,3049,"Newkirk,Trenton T",14,2,1,0,0,0,0,0,1,0,0,0,18,3.765,4,4,0.5622957145383871,,Fall 2003,GLG 100L
GLG 100L,E,3054,"Jan,Christina Diane",9,5,3,0,0,0,0,0,1,0,0,0,18,3.353,4,4,0.7859052479933758,,Fall 2003,GLG 100L
GLG 100L,F,3057,"Jan,Christina Diane",13,2,0,1,0,0,0,0,1,0,0,0,17,3.688,4.0,4,0.7932002689527196,,Fall 2003,GLG 100L
GLG 100L,G,3061,"Black,Victoria Lynn",11,3,1,2,0,0,0,0,0,0,0,0,17,3.353,4,4,1.0571882797418488,,Fall 2003,GLG 100L
GLG 100L,H,3062,"Black,Victoria Lynn",9,1,1,0,0,0,0,0,2,0,0,0,13,3.727,4,4,0.6466697906828632,,Fall 2003,GLG 100L
GLG 100L,K,3069,"Swaney,Zachariah A",6,3,3,0,1,0,0,0,0,0,0,0,13,3,3,4,1.224744871391589,,Fall 2003,GLG 100L
GLG 100L,M,3071,"Siwiec,Benjamin R",6,2,3,0,0,0,0,0,0,0,0,0,11,3.273,4,4,0.9045340337332909,,Fall 2003,GLG 100L
GLG 100L,N,3072,"Siwiec,Benjamin R",15,1,1,0,0,0,0,0,0,0,0,0,17,3.824,4,4,0.5285941398709244,,Fall 2003,GLG 100L
GLG 100L,O,3073,"Black,Victoria Lynn",3,3,5,1,0,0,0,0,0,0,0,0,12,2.667,2.5,2,0.9847319278346619,,Fall 2003,GLG 100L
GLG 101,1,3095,"Brumbaugh,David Scott",4,13,13,0,2,0,0,0,1,0,0,0,33,2.531,3.0,3,0.9498514315067824,,Fall 2003,GLG 101
GLG 101H,1,7351,"Brumbaugh,David Scott",3,4,1,0,0,0,0,0,2,0,0,0,10,3.25,3.0,3,0.7071067811865476,,Fall 2003,GLG 101H
GLG 102,1,3097,"Blakey,Ronald Clyde",3,5,4,0,0,0,0,0,1,0,0,0,13,2.917,3.0,3,0.7929614610987591,,Fall 2003,GLG 102
GLG 103,A,3098,"Brightwell,Stephanie N",14,3,0,1,1,0,0,0,1,0,0,0,20,3.474,4,4,1.1239029738980326,,Fall 2003,GLG 103
GLG 103,B,3099,"Brightwell,Stephanie N",13,3,0,1,1,0,0,0,0,0,0,0,18,3.444,4.0,4,1.1490262999202832,,Fall 2003,GLG 103
